"response_var","impulse_var","horizon","percentage","dataset","model_name"
"gdp_growth","gdp_growth",3,0.653727549125074,"macro_panel_USA","VAR2_macro_USA"
"gdp_growth","inflation",3,0.0264281448769071,"macro_panel_USA","VAR2_macro_USA"
"gdp_growth","interest_rate",3,0.319844305998019,"macro_panel_USA","VAR2_macro_USA"
"gdp_growth","gdp_growth",4,0.569178640072005,"macro_panel_USA","VAR2_macro_USA"
"gdp_growth","inflation",4,0.0747964988092135,"macro_panel_USA","VAR2_macro_USA"
"gdp_growth","interest_rate",4,0.356024861118782,"macro_panel_USA","VAR2_macro_USA"
"gdp_growth","gdp_growth",5,0.520378434467901,"macro_panel_USA","VAR2_macro_USA"
"gdp_growth","inflation",5,0.122456301712152,"macro_panel_USA","VAR2_macro_USA"
"gdp_growth","interest_rate",5,0.357165263819947,"macro_panel_USA","VAR2_macro_USA"
"gdp_growth","gdp_growth",6,0.496826985398052,"macro_panel_USA","VAR2_macro_USA"
"gdp_growth","inflation",6,0.15427000423029,"macro_panel_USA","VAR2_macro_USA"
"gdp_growth","interest_rate",6,0.348903010371658,"macro_panel_USA","VAR2_macro_USA"
"gdp_growth","gdp_growth",7,0.486838998405108,"macro_panel_USA","VAR2_macro_USA"
"gdp_growth","inflation",7,0.170657950385423,"macro_panel_USA","VAR2_macro_USA"
"gdp_growth","interest_rate",7,0.342503051209469,"macro_panel_USA","VAR2_macro_USA"
"gdp_growth","gdp_growth",8,0.483327719341142,"macro_panel_USA","VAR2_macro_USA"
"gdp_growth","inflation",8,0.176952484407977,"macro_panel_USA","VAR2_macro_USA"
"gdp_growth","interest_rate",8,0.339719796250881,"macro_panel_USA","VAR2_macro_USA"
"gdp_growth","gdp_growth",9,0.482256482998398,"macro_panel_USA","VAR2_macro_USA"
"gdp_growth","inflation",9,0.178433878413408,"macro_panel_USA","VAR2_macro_USA"
"gdp_growth","interest_rate",9,0.339309638588194,"macro_panel_USA","VAR2_macro_USA"
"gdp_growth","gdp_growth",10,0.481829308051497,"macro_panel_USA","VAR2_macro_USA"
"gdp_growth","inflation",10,0.178409257177282,"macro_panel_USA","VAR2_macro_USA"
"gdp_growth","interest_rate",10,0.339761434771221,"macro_panel_USA","VAR2_macro_USA"
"inflation","gdp_growth",1,0.00097285325119976,"macro_panel_USA","VAR2_macro_USA"
"inflation","inflation",1,0.9990271467488,"macro_panel_USA","VAR2_macro_USA"
"inflation","interest_rate",1,0,"macro_panel_USA","VAR2_macro_USA"
"inflation","gdp_growth",2,0.00491368730890095,"macro_panel_USA","VAR2_macro_USA"
"inflation","inflation",2,0.948779239921524,"macro_panel_USA","VAR2_macro_USA"
"inflation","interest_rate",2,0.0463070727695747,"macro_panel_USA","VAR2_macro_USA"
"inflation","gdp_growth",3,0.0109901627550847,"macro_panel_USA","VAR2_macro_USA"
"inflation","inflation",3,0.922445913558412,"macro_panel_USA","VAR2_macro_USA"
"inflation","interest_rate",3,0.0665639236865039,"macro_panel_USA","VAR2_macro_USA"
"inflation","gdp_growth",4,0.0129397840872862,"macro_panel_USA","VAR2_macro_USA"
"inflation","inflation",4,0.899092330613203,"macro_panel_USA","VAR2_macro_USA"
"inflation","interest_rate",4,0.0879678852995106,"macro_panel_USA","VAR2_macro_USA"
"inflation","gdp_growth",5,0.0132993946079633,"macro_panel_USA","VAR2_macro_USA"
"inflation","inflation",5,0.885838768500784,"macro_panel_USA","VAR2_macro_USA"
"inflation","interest_rate",5,0.100861836891253,"macro_panel_USA","VAR2_macro_USA"
"inflation","gdp_growth",6,0.0131698809032543,"macro_panel_USA","VAR2_macro_USA"
